Acc_X,Acc_Y,Acc_Z,Rot_X,Rot_Y,Rot_Z,tempC,time,lat,lng,alt,speed_kmh,satellite_amount;
-0.38,8.77,-1.98,0.10,-0.83,0.47,26.82,20:59:08,48.225337667,15.634908667,288.20,0.78,7;
-1.58,10.29,-2.07,0.04,1.00,-0.02,26.82,20:59:09,48.225341167,15.634914833,290.10,1.09,7;
1.76,9.39,-1.28,0.14,0.94,-0.05,26.81,20:59:10,48.225341333,15.634915667,290.00,0.35,7;
2.07,8.77,-0.38,-0.27,-1.22,0.30,26.80,20:59:11,48.225340000,15.634915167,291.40,1.26,7;
0.22,10.61,-1.52,0.38,-0.00,-0.08,26.79,20:59:12,48.225326667,15.634917500,288.80,1.00,7;
-0.51,9.34,-2.32,0.25,0.56,0.10,26.79,20:59:13,48.225330667,15.634917500,288.50,1.00,7;
2.29,10.18,-0.62,-0.36,0.42,0.08,26.78,20:59:13,48.225330667,15.634917500,288.50,1.00,7;
1.39,10.00,1.13,-0.08,-1.06,-0.21,26.78,20:59:13,48.225330667,15.634917500,288.50,1.00,7;
0.39,9.28,-2.10,-0.24,-0.77,-0.01,26.76,20:59:13,48.225330667,15.634917500,288.50,1.00,7;
1.21,9.39,-0.27,0.04,0.58,-0.12,26.76,20:59:13,48.225330667,15.634917500,288.50,1.00,7;
-0.66,9.13,-1.77,0.16,0.76,-0.07,26.76,20:59:19,48.225336833,15.634908500,288.50,1.67,7;
1.94,9.29,-1.19,0.14,0.84,-0.30,26.74,20:59:20,48.225334167,15.634909000,289.70,1.57,7;
0.28,9.24,-3.34,-0.02,0.22,-0.23,26.74,20:59:21,48.225317667,15.634909333,287.00,2.50,7;
1.83,9.29,-1.64,0.02,0.72,-0.68,26.75,20:59:22,48.225309833,15.634907833,282.40,1.76,7;
-0.04,10.15,-2.84,-0.26,-1.47,0.79,26.74,20:59:23,48.225306333,15.634915833,281.60,1.87,7;
1.50,9.74,-1.28,0.04,-0.07,-0.21,26.72,20:59:24,48.225301500,15.634915833,280.40,0.09,7;
0.17,9.47,-3.53,-0.22,-0.78,0.10,26.72,20:59:26,48.225297167,15.634908500,280.40,0.70,7;
1.62,8.68,-1.09,-0.03,-0.17,0.22,26.71,20:59:26,48.225297167,15.634908500,280.10,0.70,7;
1.76,9.01,-2.77,0.03,0.26,-0.19,26.72,20:59:26,48.225297167,15.634908500,280.10,0.70,7;
1.51,8.90,-2.47,0.04,0.01,-0.03,26.70,20:59:26,48.225297167,15.634908500,280.10,0.70,7;
1.16,9.16,-2.75,-0.02,0.01,-0.03,26.69,20:59:26,48.225297167,15.634908500,280.10,0.70,7;
1.15,9.17,-2.51,0.01,-0.00,0.01,26.70,20:59:26,48.225297167,15.634908500,280.10,0.70,7;
1.30,9.11,-2.37,-0.08,0.02,-0.05,26.69,20:59:32,48.225290833,15.634888667,280.10,0.65,7;
1.26,9.26,-1.92,-0.01,0.01,0.04,26.69,20:59:33,48.225291333,15.634886000,275.70,0.17,7;
0.83,9.54,-1.55,-0.04,-0.03,-0.04,26.66,20:59:34,48.225292167,15.634883500,275.00,0.50,7;
0.64,9.59,-1.21,0.04,-0.05,-0.05,26.67,20:59:35,48.225294500,15.634882667,275.40,0.17,7;
0.36,10.06,-0.16,-0.34,0.32,0.21,26.65,20:59:36,48.225300500,15.634881667,276.00,0.17,7;
1.73,9.73,0.37,-0.21,0.43,0.03,26.64,20:59:37,48.225313333,15.634885500,277.20,0.30,7;
2.80,9.47,0.18,0.09,0.13,-0.01,26.64,20:59:39,48.225318000,15.634890833,277.60,0.09,7;
2.72,9.40,-0.11,0.01,0.33,-0.07,26.64,20:59:39,48.225318000,15.634890833,277.90,0.09,7;
2.89,9.28,-0.46,-0.01,0.07,-0.03,26.64,20:59:39,48.225318000,15.634890833,277.90,0.09,7;
2.61,9.57,0.10,0.03,0.16,0.01,26.63,20:59:39,48.225318000,15.634890833,277.90,0.09,7;
2.18,9.39,0.68,0.19,0.10,-0.04,26.62,20:59:39,48.225318000,15.634890833,277.90,0.09,7;
2.83,9.77,-0.94,-0.20,-0.13,0.14,26.62,20:59:39,48.225318000,15.634890833,277.90,0.09,7;
3.01,9.24,1.36,0.05,-0.08,-0.02,26.62,20:59:45,48.225317000,15.634885500,277.90,1.74,7;
3.10,9.06,-0.43,0.11,-0.06,0.01,26.62,20:59:46,48.225311833,15.634888333,277.90,1.37,7;
1.28,9.75,-0.66,0.11,-0.06,-0.10,26.59,20:59:47,48.225313333,15.634893833,279.30,0.07,7;
1.51,9.36,-1.75,-0.05,0.02,-0.01,26.59,20:59:48,48.225313167,15.634896000,278.90,0.31,7;
2.12,9.01,1.47,-0.28,0.01,0.52,26.59,20:59:49,48.225312000,15.634897500,279.30,0.07,7;
2.67,8.93,2.47,0.02,0.07,-0.69,26.59,20:59:50,48.225315167,15.634896333,279.40,0.11,7;
4.07,9.71,1.53,-0.18,-0.08,0.59,26.57,20:59:52,48.225321333,15.634896500,280.10,0.20,7;
-1.69,7.33,-2.62,-0.53,-1.12,-0.35,26.56,20:59:52,48.225321333,15.634896500,280.70,0.20,7;
-11.53,-1.17,-0.74,-0.56,1.58,0.94,26.57,20:59:52,48.225321333,15.634896500,280.70,0.20,7;
11.22,0.41,1.42,-0.11,1.86,1.20,26.56,20:59:52,48.225321333,15.634896500,280.70,0.20,7;
7.47,-3.74,-1.58,-1.81,0.18,0.03,26.56,20:59:52,48.225321333,15.634896500,280.70,0.20,7;
8.66,0.50,-1.76,0.28,1.03,0.04,26.55,20:59:52,48.225321333,15.634896500,280.70,0.20,7;
10.38,0.01,-0.03,-2.13,-0.47,-2.36,26.55,20:59:58,48.225303167,15.634893500,280.70,0.96,7;
0.87,9.93,1.62,0.42,-0.05,0.47,26.54,20:59:59,48.225303667,15.634892500,280.70,0.07,7;
-4.51,8.52,-1.14,-0.73,0.95,1.84,26.54,21:00:00,48.225304000,15.634893167,281.50,0.04,7;
7.77,-6.20,2.95,1.45,-0.50,-2.96,26.53,21:00:01,48.225305500,15.634893333,281.40,0.98,7;
-0.35,9.34,0.42,1.73,-0.40,-1.21,26.53,21:00:02,48.225307333,15.634890333,282.20,1.06,7;
-0.30,11.09,3.45,-3.37,2.87,-0.57,26.52,21:00:03,48.225308167,15.634889833,282.20,0.33,7;
0.66,10.07,-0.63,0.25,0.06,-0.29,26.51,21:00:05,48.225306833,15.634887667,282.00,1.17,7;
1.85,9.33,-2.35,0.17,0.01,-0.07,26.50,21:00:05,48.225306833,15.634887667,281.50,1.17,6;
-7.88,3.34,1.40,0.82,1.60,-3.06,26.50,21:00:05,48.225306833,15.634887667,281.50,1.17,6;
8.70,3.15,0.94,-0.16,-0.01,1.09,26.49,21:00:05,48.225306833,15.634887667,281.50,1.17,6;
10.76,1.18,0.65,-0.31,0.72,-0.55,26.49,21:00:05,48.225306833,15.634887667,281.50,1.17,6;
9.90,0.77,2.47,0.24,-0.05,-0.22,26.47,21:00:05,48.225306833,15.634887667,281.50,1.17,6;
9.94,-0.06,0.03,-0.27,0.34,-0.38,26.48,21:00:11,48.225282333,15.634861333,281.50,1.00,6;
9.84,0.56,3.57,-0.11,-0.45,-0.08,26.47,21:00:12,48.225284667,15.634871667,281.50,0.63,6;
8.93,3.46,1.55,0.19,0.21,-0.72,26.45,21:00:13,48.225281500,15.634863000,283.50,0.87,7;
8.37,3.20,2.23,-0.07,0.43,-0.08,26.46,21:00:14,48.225283500,15.634865833,285.80,1.22,7;
9.73,4.45,5.61,-0.11,0.75,0.30,26.46,21:00:15,48.225279333,15.634863000,285.40,0.57,7;
3.81,8.80,4.96,0.85,1.17,0.24,26.45,21:00:16,48.225276833,15.634872333,286.20,0.98,7;
5.75,8.18,3.00,0.31,0.06,-0.29,26.43,21:00:18,48.225294333,15.634882667,284.80,1.15,7;
3.39,8.37,5.26,-0.54,-0.73,-0.46,26.42,21:00:18,48.225294333,15.634882667,280.00,1.15,7;
3.97,7.63,3.38,0.31,0.21,-0.79,26.43,21:00:18,48.225294333,15.634882667,280.00,1.15,7;
4.04,7.08,4.38,1.68,0.85,-1.15,26.42,21:00:18,48.225294333,15.634882667,280.00,1.15,7;
3.12,9.53,3.64,-0.10,-0.74,-0.69,26.41,21:00:18,48.225294333,15.634882667,280.00,1.15,7;
0.98,9.07,4.96,-0.12,0.18,0.05,26.41,21:00:18,48.225294333,15.634882667,280.00,1.15,7;
2.10,7.30,6.68,0.04,-0.13,-0.38,26.39,21:00:18,48.225294333,15.634882667,280.00,1.15,7;
1.60,7.87,6.49,-0.18,0.32,0.07,26.39,21:00:25,48.225306167,15.634859500,280.00,1.15,7;
0.75,9.23,6.52,0.26,-1.43,-0.42,26.39,21:00:26,48.225314833,15.634857000,270.20,0.76,7;
-5.64,4.26,-5.39,0.92,1.56,0.08,26.36,21:00:27,48.225310167,15.634853500,269.30,0.70,7;
-2.75,6.92,-6.81,0.22,-0.17,-0.33,26.36,21:00:28,48.225311500,15.634850167,269.70,2.44,7;
2.02,4.59,-7.80,0.34,0.41,0.06,26.37,21:00:29,48.225318500,15.634854000,271.30,0.28,7;
-4.11,9.89,-1.94,-3.90,-2.26,-0.34,26.36,21:00:30,48.225315167,15.634849000,269.90,0.26,7;
1.55,6.24,8.63,-0.01,0.17,-0.04,26.35,21:00:31,48.225315000,15.634850667,270.30,0.11,7;
-0.28,6.75,7.46,0.81,-0.57,-1.09,26.34,21:00:31,48.225315000,15.634850667,270.30,0.11,7;
4.99,4.03,-3.89,0.03,3.40,1.12,26.34,21:00:31,48.225315000,15.634850667,270.30,0.11,7;
10.03,3.01,2.75,-1.48,0.58,-0.55,26.33,21:00:31,48.225315000,15.634850667,270.30,0.11,7;
9.51,-2.27,-5.66,-0.17,3.08,-0.06,26.32,21:00:31,48.225315000,15.634850667,270.30,0.11,7;
7.58,1.59,-1.20,7.03,-1.89,-1.91,26.31,21:00:31,48.225315000,15.634850667,270.30,0.11,7;
7.69,2.76,9.39,-0.01,-0.46,0.71,26.30,21:00:38,48.225310000,15.634849333,270.30,0.98,7;
5.69,3.97,6.11,8.73,4.21,1.17,26.30,21:00:39,48.225310167,15.634840333,270.20,1.69,7;
8.64,0.13,-7.15,2.32,1.29,0.94,26.27,21:00:40,48.225310000,15.634830000,270.10,2.31,7;
1.88,-4.92,-5.05,-1.42,1.23,0.10,26.27,21:00:41,48.225307500,15.634825167,270.10,1.09,7;
8.72,2.45,0.19,8.73,-4.43,-1.61,26.25,21:00:42,48.225309833,15.634826333,270.40,0.98,7;
7.09,3.93,3.56,-1.86,0.79,1.31,26.23,21:00:43,48.225310000,15.634828333,270.90,0.43,7;
8.99,1.61,-4.22,4.44,2.27,0.33,26.20,21:00:44,48.225311500,15.634824333,271.40,1.43,7;
2.59,-3.36,-4.34,3.94,2.35,-2.03,26.22,21:00:44,48.225311500,15.634824333,271.40,1.43,7;
11.65,4.02,5.67,-0.23,-2.04,-0.02,26.19,21:00:44,48.225311500,15.634824333,271.40,1.43,7;
0.09,-0.25,6.22,8.58,5.70,4.67,26.18,21:00:44,48.225311500,15.634824333,271.40,1.43,7;
7.33,-2.34,8.94,7.12,2.72,1.87,26.17,21:00:44,48.225311500,15.634824333,271.40,1.43,7;
5.98,-2.10,-9.52,-3.38,0.86,-0.53,26.17,21:00:44,48.225311500,15.634824333,271.40,1.43,7;
6.77,-5.80,-4.46,8.73,-1.18,-1.78,26.15,21:00:51,48.225306667,15.634790000,271.40,1.04,7;
5.32,8.52,8.69,2.08,1.85,1.01,26.15,21:00:52,48.225311167,15.634786167,271.50,2.52,7;
4.22,-2.27,-2.87,-2.90,-2.72,-2.76,26.15,21:00:53,48.225316333,15.634784167,273.40,2.44,7;
11.75,-1.11,6.00,0.74,-1.75,-1.53,26.11,21:00:54,48.225309833,15.634769833,272.90,4.69,7;
8.12,0.50,-0.18,7.23,1.88,2.81,26.12,21:00:55,48.225304167,15.634762667,274.70,3.07,7;
-0.81,-3.71,-9.12,0.55,-0.39,-2.15,26.12,21:00:56,48.225297167,15.634754500,274.80,2.19,7;
6.83,0.65,3.60,4.15,-2.92,-1.45,26.09,21:00:57,48.225292000,15.634749667,275.60,1.81,7;
4.03,5.22,5.54,5.23,1.59,2.22,26.09,21:00:59,48.225290000,15.634737667,276.50,1.81,7;
3.88,-0.58,-6.20,-0.09,1.20,-1.62,26.08,21:00:59,48.225290000,15.634737667,276.50,1.81,7;
7.56,2.95,4.66,-0.05,-0.20,0.62,26.06,21:00:59,48.225290000,15.634737667,276.50,1.81,7;
8.98,2.31,2.49,-0.38,-0.27,0.32,26.06,21:00:59,48.225290000,15.634737667,276.50,1.81,7;
9.28,2.89,1.28,0.83,1.15,-0.18,26.05,21:00:59,48.225290000,15.634737667,276.50,1.81,7;
5.29,2.01,9.46,-0.09,1.07,0.27,26.04,21:01:04,48.225273833,15.634703333,276.50,3.07,7;
7.35,0.24,11.06,0.39,0.55,0.54,26.03,21:01:05,48.225278333,15.634704667,276.50,2.09,7;
2.92,1.22,9.90,0.21,0.02,-0.14,26.02,21:01:06,48.225267167,15.634699333,278.20,2.93,7;
2.28,3.08,9.63,-0.04,0.25,-0.07,26.02,21:01:07,48.225259833,15.634692333,278.30,2.91,7;
3.38,2.83,9.06,0.21,0.05,0.03,26.00,21:01:08,48.225260500,15.634684667,278.50,1.39,7;
2.05,4.21,9.36,-0.95,-0.90,-1.29,25.99,21:01:09,48.225259333,15.634687167,279.80,0.59,7;
2.11,4.87,9.42,-0.05,0.12,0.11,25.99,21:01:11,48.225256833,15.634674500,279.60,0.85,7;
0.83,5.87,8.61,-0.11,-0.11,-0.16,25.98,21:01:11,48.225256833,15.634674500,279.80,0.85,7;
8.98,4.56,1.16,0.80,-0.21,0.48,25.96,21:01:11,48.225256833,15.634674500,279.80,0.85,7;
11.50,0.73,-1.88,-0.24,0.27,0.49,25.96,21:01:11,48.225256833,15.634674500,279.80,0.85,7;
8.91,0.92,-0.83,0.47,-0.34,0.21,25.95,21:01:11,48.225256833,15.634674500,279.80,0.85,7;
8.76,-0.16,-1.96,0.46,-0.20,-0.09,25.94,21:01:11,48.225256833,15.634674500,279.80,0.85,7;
8.78,-0.08,-3.28,-0.13,0.04,-0.01,25.95,21:01:17,48.225238500,15.634620500,279.80,0.94,7;
11.04,-0.54,-2.69,0.38,1.41,0.41,25.94,21:01:18,48.225236500,15.634612833,279.80,1.57,7;
9.72,-0.54,-2.00,-0.91,-0.56,-0.16,25.93,21:01:19,48.225235333,15.634605167,281.30,1.78,7;
8.66,1.20,-2.52,0.20,0.18,0.02,25.89,21:01:20,48.225232833,15.634596333,281.50,1.78,7;
8.41,0.26,-2.51,0.04,0.01,-0.14,25.88,21:01:31,48.225204167,15.634528667,281.50,0.94,7;
8.26,0.51,-3.16,-0.30,0.18,0.07,25.87,21:01:32,48.225202167,15.634522667,280.80,1.19,7;
9.80,-0.14,-3.52,0.06,-0.35,-0.04,25.87,21:01:33,48.225199000,15.634514667,280.70,1.81,7;
9.01,-0.40,-1.99,-0.64,-0.16,0.20,25.87,21:01:34,48.225193833,15.634499500,279.90,2.00,7;
8.67,0.73,0.96,-0.04,1.11,-0.02,25.87,21:01:35,48.225195500,15.634494667,281.50,1.39,7;
8.98,0.03,-2.94,0.10,0.36,-0.22,25.87,21:01:36,48.225193167,15.634487167,281.50,0.91,7;
9.69,0.38,-1.94,-0.15,0.22,0.26,25.85,21:01:37,48.225186833,15.634477667,281.70,0.63,7;
10.56,1.30,-2.00,0.48,0.22,-0.39,25.85,21:01:37,48.225186833,15.634477667,281.70,0.63,7;
8.93,0.74,-1.17,-0.37,-0.33,0.61,25.84,21:01:37,48.225186833,15.634477667,281.70,0.63,7;
8.25,0.87,-1.77,0.25,0.17,0.00,25.84,21:01:37,48.225186833,15.634477667,281.70,0.63,7;
10.28,0.21,-0.86,0.44,0.60,-0.27,25.84,21:01:37,48.225186833,15.634477667,281.70,0.63,7;
9.97,0.53,-2.65,-0.50,-0.27,0.61,25.82,21:01:37,48.225186833,15.634477667,281.70,0.63,7;
10.15,0.41,-2.53,0.35,0.01,-0.10,25.83,21:01:44,48.225173667,15.634409667,281.70,2.02,7;
10.07,2.08,-0.07,-0.37,0.55,-1.01,25.82,21:01:45,48.225168167,15.634391167,287.20,3.02,7;
10.15,1.98,2.28,-0.61,1.30,0.67,25.82,21:01:46,48.225158167,15.634373167,285.70,4.32,7;
10.93,4.21,-0.82,-0.07,-0.13,0.64,25.83,21:01:47,48.225156167,15.634370000,286.20,1.09,7;
10.39,-5.06,3.85,-0.50,-0.27,-1.25,25.80,21:01:48,48.225147500,15.634353333,285.70,1.59,7;
8.13,-2.81,1.93,-6.70,-1.89,0.53,25.79,21:01:49,48.225143167,15.634343500,285.50,1.56,7;
7.52,6.32,-0.10,-2.25,-0.90,2.26,25.79,21:01:50,48.225141333,15.634333000,284.50,2.46,7;
8.48,-0.24,4.82,-4.47,0.83,-2.08,25.78,21:01:52,48.225134167,15.634298000,284.00,2.46,7;
9.23,-1.45,0.57,-0.86,-0.76,-0.77,25.78,21:01:52,48.225134167,15.634298000,284.00,2.46,7;
8.67,0.68,-0.02,-0.22,0.59,0.17,25.78,21:01:52,48.225134167,15.634298000,284.00,2.46,7;
8.43,0.16,-1.58,-0.09,0.23,-0.54,25.77,21:01:52,48.225134167,15.634298000,284.00,2.46,7;
9.15,-2.39,2.91,-3.21,0.92,-1.67,25.76,21:01:52,48.225134167,15.634298000,284.00,2.46,7;
9.17,0.10,0.39,-0.03,-0.54,-0.04,25.77,21:01:57,48.225117667,15.634234333,284.00,2.37,7;
8.99,0.91,-0.15,0.11,-0.16,0.04,25.75,21:01:58,48.225118500,15.634229833,281.20,1.09,7;
9.70,0.97,0.68,-0.19,-0.01,0.21,25.74,21:01:58,48.225118500,15.634229833,281.20,1.09,7;
8.49,-0.06,-1.96,0.11,0.22,-0.10,25.74,21:01:58,48.225118500,15.634229833,281.20,1.09,7;
10.27,-0.62,-0.90,1.62,0.24,-0.49,25.73,21:01:58,48.225118500,15.634229833,281.20,1.09,7;
9.88,1.87,-0.96,-1.59,-0.19,0.31,25.74,21:02:12,48.225052333,15.634080500,281.20,4.13,7;
8.94,1.57,-0.27,-0.15,-0.24,-0.11,25.73,21:02:13,48.225048167,15.634071333,281.20,3.30,7;
5.42,3.43,3.08,-5.14,-4.59,2.22,25.71,21:02:14,48.225047167,15.634065500,276.80,2.46,7;
11.11,4.43,0.92,0.16,0.23,0.16,25.71,21:02:15,48.225042167,15.634052500,276.10,2.74,7;
8.56,1.49,3.19,0.76,0.03,0.30,25.72,21:02:16,48.225037167,15.634035000,275.10,2.98,7;
8.09,0.55,0.88,0.57,0.55,0.16,25.71,21:02:17,48.225034167,15.634026000,275.80,2.72,7;
11.44,1.13,1.03,-0.41,-0.24,0.13,25.70,21:02:19,48.225029167,15.634005333,276.50,2.04,7;
8.70,-0.70,3.18,0.20,0.13,-0.25,25.69,21:02:19,48.225029167,15.634005333,276.30,2.04,7;
9.01,0.80,1.52,-0.11,0.13,0.20,25.69,21:02:19,48.225029167,15.634005333,276.30,2.04,7;
11.54,1.31,-0.19,-0.41,-0.17,-0.25,25.69,21:02:19,48.225029167,15.634005333,276.30,2.04,7;
7.52,-1.76,6.36,-2.31,1.16,0.67,25.68,21:02:19,48.225029167,15.634005333,276.30,2.04,7;
2.64,-2.56,9.98,0.25,0.17,0.06,25.67,21:02:19,48.225029167,15.634005333,276.30,2.04,7;
9.52,0.54,8.42,-1.22,-1.19,1.63,25.67,21:02:25,48.225047167,15.633977167,276.30,4.06,7;
7.36,-2.89,-2.47,0.29,0.05,0.02,25.66,21:02:26,48.225035000,15.633955167,276.30,2.33,7;
9.50,-2.61,-2.70,0.21,-0.19,0.03,25.66,21:02:27,48.225029500,15.633942667,277.20,2.09,7;
6.51,-2.09,-3.49,-1.90,-1.88,0.19,25.65,21:02:28,48.225035167,15.633920833,272.90,3.67,7;
6.63,2.65,-4.01,-0.48,-0.91,0.03,25.65,21:02:29,48.225027500,15.633904000,272.00,4.48,7;
8.90,0.88,-8.53,1.11,0.37,-0.90,25.64,21:02:30,48.225025667,15.633894500,271.60,1.24,7;
8.24,1.57,-0.00,-0.12,0.49,0.27,25.64,21:02:32,48.225017667,15.633871833,271.00,3.20,7;
9.35,2.49,-2.15,-0.95,0.21,-0.68,25.64,21:02:32,48.225017667,15.633871833,270.70,3.20,7;
8.53,1.17,-1.05,-0.31,-0.36,0.04,25.64,21:02:32,48.225017667,15.633871833,270.70,3.20,7;
6.72,2.48,0.89,0.07,-0.12,0.06,25.64,21:02:32,48.225017667,15.633871833,270.70,3.20,7;
11.12,0.14,-4.77,0.37,0.25,0.49,25.62,21:02:32,48.225017667,15.633871833,270.70,3.20,7;
10.02,1.34,-0.21,0.98,0.11,-0.17,25.63,21:02:32,48.225017667,15.633871833,270.70,3.20,7;
12.24,-0.50,-0.64,0.74,0.26,0.04,25.62,21:02:38,48.225006833,15.633828500,270.70,1.15,7;
8.21,-1.82,-1.29,-0.45,-0.10,0.26,25.61,21:02:39,48.225001833,15.633820333,270.70,1.54,7;
9.47,0.62,-1.69,-0.03,-0.07,0.29,25.60,21:02:40,48.224995167,15.633812500,276.80,2.50,7;
8.19,-1.86,-0.76,-0.32,0.26,-0.72,25.60,21:02:41,48.224987333,15.633804833,276.50,1.76,7;
7.61,-0.70,-0.38,-0.30,0.00,0.46,25.59,21:02:42,48.224983167,15.633800000,277.10,1.48,7;
10.12,-3.85,-3.55,-1.25,0.64,-0.62,25.59,21:02:43,48.224981167,15.633796667,277.60,1.54,7;
9.47,0.65,-0.29,-0.30,0.27,-0.24,25.59,21:02:45,48.224978000,15.633792333,278.00,0.56,7;
11.36,-1.74,-0.04,1.29,0.11,-0.25,25.58,21:02:45,48.224978000,15.633792333,279.50,0.56,7;
6.96,-0.34,1.19,-0.67,-0.50,-0.41,25.59,21:02:45,48.224978000,15.633792333,279.50,0.56,7;
12.10,0.98,-0.93,-0.43,-0.26,0.31,25.57,21:02:45,48.224978000,15.633792333,279.50,0.56,7;
8.50,-1.94,1.27,0.13,0.11,-0.52,25.57,21:02:45,48.224978000,15.633792333,279.50,0.56,7;
6.26,0.14,6.24,-3.95,2.97,-0.77,25.56,21:02:45,48.224978000,15.633792333,279.50,0.56,7;
10.65,-0.74,-5.63,-4.60,0.57,0.98,25.54,21:02:45,48.224978000,15.633792333,279.50,0.56,7;
9.32,1.39,-2.95,0.82,0.26,-0.54,25.53,21:02:52,48.224959833,15.633735500,279.50,0.52,7;
11.74,-1.93,4.64,1.00,-0.71,-0.98,25.52,21:02:53,48.224959167,15.633725167,281.30,1.85,7;
8.44,-1.44,1.12,-4.20,2.04,-1.61,25.52,21:02:54,48.224963667,15.633717000,281.50,3.65,7;
8.63,-3.35,0.96,-0.79,-0.54,-0.35,25.50,21:02:55,48.224962667,15.633730000,285.30,2.07,7;
9.65,2.46,-2.80,-4.59,-0.38,0.37,25.49,21:02:56,48.224956667,15.633719000,284.80,2.33,7;
10.34,1.74,-0.67,-1.30,1.34,-0.75,25.48,21:02:58,48.224948000,15.633695667,285.10,2.13,7;
7.78,3.55,0.69,-3.25,-0.12,1.86,25.48,21:02:58,48.224948000,15.633695667,285.80,2.13,7;
11.13,1.53,0.53,0.92,-0.17,0.14,25.47,21:02:58,48.224948000,15.633695667,285.80,2.13,7;
8.09,-0.74,3.43,-0.58,-0.74,-0.61,25.47,21:02:58,48.224948000,15.633695667,285.80,2.13,7;
11.43,3.51,-1.27,-1.29,-0.68,-0.19,25.45,21:02:58,48.224948000,15.633695667,285.80,2.13,7;
7.83,-5.28,-1.19,-0.98,-0.68,-0.36,25.45,21:02:58,48.224948000,15.633695667,285.80,2.13,7;
11.50,1.03,1.09,-0.56,1.50,-0.18,25.44,21:02:58,48.224948000,15.633695667,285.80,2.13,7;
8.03,-1.48,2.79,-0.16,-0.49,-0.15,25.41,21:03:05,48.224924167,15.633594333,285.80,2.15,7;
10.60,-3.32,1.76,-0.71,0.10,0.20,25.41,21:03:06,48.224924167,15.633582500,283.30,1.83,6;
8.01,-5.11,-0.31,0.59,0.14,-0.19,25.41,21:03:07,48.224924000,15.633566000,282.90,3.50,6;
9.48,-1.28,2.66,-0.22,-0.85,0.25,25.40,21:03:08,48.224921000,15.633554000,282.40,1.46,6;
8.63,-1.04,-2.15,-0.03,-0.29,-0.01,25.40,21:03:09,48.224915833,15.633541500,282.20,2.17,7;
10.89,-1.84,-0.43,-1.26,-0.54,0.38,25.38,21:03:10,48.224910500,15.633528667,281.70,2.17,7;
9.12,-3.26,-0.43,0.12,0.31,-0.26,25.37,21:03:11,48.224904167,15.633514000,281.40,3.39,7;
10.59,-1.23,1.40,-0.21,-0.46,0.22,25.38,21:03:13,48.224889333,15.633481500,281.10,3.39,7;
7.14,0.14,-1.10,-0.28,-0.53,-0.19,25.37,21:03:13,48.224889333,15.633481500,281.10,3.39,7;
9.75,-1.19,2.29,-1.39,-0.90,0.33,25.35,21:03:13,48.224889333,15.633481500,281.10,3.39,7;
9.83,-2.40,0.11,0.28,0.15,0.11,25.34,21:03:13,48.224889333,15.633481500,281.10,3.39,7;
7.63,0.64,1.22,0.34,-0.38,0.37,25.34,21:03:13,48.224889333,15.633481500,281.10,3.39,7;
